model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4o-mini,normal,leak,9,1,1,1,1,1,1.0,0,1,bypass,0.8888888888888888,8,9,0,0.9777777777777777,88,90,0,2,0,8,8,9,2.162300862488337,3.242761944213675,46.760079300031066,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,36999,654,29215,1053,66214,1707,67921
gpt-4o-mini,normal,normal,0,1,1,1,1,1,1.0,0,1,normal,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,1.805477042815515,2.7045546624576673,34.55617769993842,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32133,475,25927,798,58060,1273,59333
gpt-4o-mini,normal,normal,1,1,1,1,1,1,1.0,0,1,normal,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,2.093822085697736,2.3024880001321435,33.30719070043415,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32133,498,25927,807,58060,1305,59365
gpt-4o-mini,normal,normal,2,1,1,1,1,1,1.0,0,1,normal,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,1.7196368857153825,2.000719649833627,28.44441580027342,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32133,485,25927,788,58060,1273,59333
gpt-4o-mini,normal,normal,3,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.759787928446063,2.097014671324619,27.17304900009185,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,495,22596,682,54729,1177,55906
gpt-4o-mini,normal,normal,4,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.816922614217869,1.8141902572076236,25.696028399281204,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,490,22596,675,54729,1165,55894
gpt-4o-mini,normal,normal,5,1,1,1,1,1,1.0,0,1,normal,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,1.8069263857656293,2.233236449654214,30.931898900307715,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32133,488,25927,812,58060,1300,59360
gpt-4o-mini,normal,normal,6,1,1,1,1,1,1.0,0,1,normal,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,1.877666600048542,2.6640547000570223,34.67907300032675,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32133,493,25927,788,58060,1281,59341
gpt-4o-mini,normal,normal,7,1,1,1,1,1,1.0,0,1,normal,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,1.82868644329054,2.922888100030832,36.418947600759566,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32133,470,25927,819,58060,1289,59349
gpt-4o-mini,normal,normal,8,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.909555057329791,4.456134828738868,44.75381019990891,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,506,22596,671,54729,1177,55906
gpt-4o-mini,normal,normal,9,1,1,1,1,1,1.0,0,1,normal,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,3.3702807000705173,2.7865978000918403,46.204524899832904,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32133,485,25927,798,58060,1283,59343
